province,province_code,region,population,date,cases,deaths,recovered,tested
Ontario,ON,Central,13448494,2020-03-12,17,0,0,791
Quebec,QC,Central,8164361,2020-03-12,6,0,0,184
Newfoundland and Labrador,NL,Atlantic,519716,2020-03-12,0,0,0,30
New Brunswick,NB,Atlantic,747101,2020-03-12,1,0,0,0
Nova Scotia,NS,Atlantic,923598,2020-03-12,0,0,0,79
Prince Edward Island,PE,Atlantic,142907,2020-03-12,0,0,0,0
Yukon,YT,North,35874,2020-03-12,0,0,0,0
Northwest Territories,NT,North,41786,2020-03-12,0,0,0,34
Nunavut,NU,North,35944,2020-03-12,0,0,0,1
British Columbia,BC,West Coast,4648055,2020-03-13,7,0,0,0
Alberta,AB,Prairies,4067175,2020-03-13,4,0,0,0
Saskatchewan,SK,Prairies,1098352,2020-03-13,0,0,0,0
Manitoba,MB,Prairies,1278365,2020-03-13,2,0,0,0
Ontario,ON,Central,13448494,2020-03-13,20,0,0,0
Quebec,QC,Central,8164361,2020-03-13,4,0,0,0
Newfoundland and Labrador,NL,Atlantic,519716,2020-03-13,0,0,0,0
New Brunswick,NB,Atlantic,747101,2020-03-13,0,0,0,0
Nova Scotia,NS,Atlantic,923598,2020-03-13,0,0,0,0
Prince Edward Island,PE,Atlantic,142907,2020-03-13,0,0,0,0
Yukon,YT,North,35874,2020-03-13,0,0,0,0
Northwest Territories,NT,North,41786,2020-03-13,0,0,0,0
Nunavut,NU,North,35944,2020-03-13,0,0,0,0
British Columbia,BC,West Coast,4648055,2020-03-14,11,0,0,1838
Alberta,AB,Prairies,4067175,2020-03-14,6,0,0,1138
Saskatchewan,SK,Prairies,1098352,2020-03-14,1,0,0,64
Manitoba,MB,Prairies,1278365,2020-03-14,1,0,0,485
Ontario,ON,Central,13448494,2020-03-14,0,0,0,2461
Quebec,QC,Central,8164361,2020-03-14,0,0,0,844
Newfoundland and Labrador,NL,Atlantic,519716,2020-03-14,0,0,0,10
New Brunswick,NB,Atlantic,747101,2020-03-14,1,0,0,38
Nova Scotia,NS,Atlantic,923598,2020-03-14,0,0,0,299
Prince Edward Island,PE,Atlantic,142907,2020-03-14,0,0,0,0
Yukon,YT,North,35874,2020-03-14,0,0,0,0
Northwest Territories,NT,North,41786,2020-03-14,0,0,0,42
Nunavut,NU,North,35944,2020-03-14,0,0,0,5
British Columbia,BC,West Coast,4648055,2020-03-15,9,0,0,0
Alberta,AB,Prairies,4067175,2020-03-15,10,0,0,0
Saskatchewan,SK,Prairies,1098352,2020-03-15,0,0,0,0
Manitoba,MB,Prairies,1278365,2020-03-15,0,0,0,0
Ontario,ON,Central,13448494,2020-03-15,24,0,0,1815
Quebec,QC,Central,8164361,2020-03-15,7,0,0,753
Newfoundland and Labrador,NL,Atlantic,519716,2020-03-15,1,0,0,0
New Brunswick,NB,Atlantic,747101,2020-03-15,0,0,0,0
Nova Scotia,NS,Atlantic,923598,2020-03-15,0,0,0,0
Prince Edward Island,PE,Atlantic,142907,2020-03-15,1,0,0,0
Yukon,YT,North,35874,2020-03-15,0,0,0,0
Northwest Territories,NT,North,41786,2020-03-15,0,0,0,0
Nunavut,NU,North,35944,2020-03-15,0,0,0,0
British Columbia,BC,West Coast,4648055,2020-03-16,0,3,0,2893
Alberta,AB,Prairies,4067175,2020-03-16,17,0,0,4991
Saskatchewan,SK,Prairies,1098352,2020-03-16,4,0,0,532
Manitoba,MB,Prairies,1278365,2020-03-16,3,0,0,1011
Ontario,ON,Central,13448494,2020-03-16,42,0,0,1717
Quebec,QC,Central,8164361,2020-03-16,15,0,0,792
Newfoundland and Labrador,NL,Atlantic,519716,2020-03-16,0,0,0,99
New Brunswick,NB,Atlantic,747101,2020-03-16,4,0,0,61
Nova Scotia,NS,Atlantic,923598,2020-03-16,3,0,0,594
Prince Edward Island,PE,Atlantic,142907,2020-03-16,0,0,0,0
Yukon,YT,North,35874,2020-03-16,0,0,0,0
Northwest Territories,NT,North,41786,2020-03-16,0,0,0,62
Nunavut,NU,North,35944,2020-03-16,0,0,0,1
British Columbia,BC,West Coast,4648055,2020-03-17,30,3,0,1686
Alberta,AB,Prairies,4067175,2020-03-17,18,0,0,1249
Saskatchewan,SK,Prairies,1098352,2020-03-17,1,0,0,185
Manitoba,MB,Prairies,1278365,2020-03-17,0,0,0,368
Ontario,ON,Central,13448494,2020-03-17,32,0,0,989
Quebec,QC,Central,8164361,2020-03-17,11,0,0,1741
Newfoundland and Labrador,NL,Atlantic,519716,2020-03-17,0,0,0,0
New Brunswick,NB,Atlantic,747101,2020-03-17,1,0,0,152
Nova Scotia,NS,Atlantic,923598,2020-03-17,2,0,0,0
Prince Edward Island,PE,Atlantic,142907,2020-03-17,0,0,0,69
Yukon,YT,North,35874,2020-03-17,0,0,0,0
Northwest Territories,NT,North,41786,2020-03-17,0,0,0,7
Nunavut,NU,North,35944,2020-03-17,0,0,0,0
British Columbia,BC,West Coast,4648055,2020-03-18,83,0,0,1776
Alberta,AB,Prairies,4067175,2020-03-18,23,0,0,2199
Saskatchewan,SK,Prairies,1098352,2020-03-18,1,0,0,844
Manitoba,MB,Prairies,1278365,2020-03-18,8,0,0,523
Ontario,ON,Central,13448494,2020-03-18,12,0,0,2702
Quebec,QC,Central,8164361,2020-03-18,24,1,0,1010
Newfoundland and Labrador,NL,Atlantic,519716,2020-03-18,2,0,0,0
New Brunswick,NB,Atlantic,747101,2020-03-18,1,0,0,113
Nova Scotia,NS,Atlantic,923598,2020-03-18,2,0,0,203
Prince Edward Island,PE,Atlantic,142907,2020-03-18,0,0,0,0
Yukon,YT,North,35874,2020-03-18,0,0,0,0
Northwest Territories,NT,North,41786,2020-03-18,0,0,0,0
Nunavut,NU,North,35944,2020-03-18,0,0,0,0
British Columbia,BC,West Coast,4648055,2020-03-19,85,1,0,2994
Alberta,AB,Prairies,4067175,2020-03-19,49,1,0,2821
Saskatchewan,SK,Prairies,1098352,2020-03-19,12,0,0,0
Manitoba,MB,Prairies,1278365,2020-03-19,2,0,0,450
Ontario,ON,Central,13448494,2020-03-19,69,1,0,4619
Quebec,QC,Central,8164361,2020-03-19,47,0,0,877
Newfoundland and Labrador,NL,Atlantic,519716,2020-03-19,0,0,0,106
New Brunswick,NB,Atlantic,747101,2020-03-19,3,0,0,119
Nova Scotia,NS,Atlantic,923598,2020-03-19,7,0,0,242
Prince Edward Island,PE,Atlantic,142907,2020-03-19,1,0,0,0
Yukon,YT,North,35874,2020-03-19,0,0,0,0
Northwest Territories,NT,North,41786,2020-03-19,0,0,0,76
Nunavut,NU,North,35944,2020-03-19,0,0,0,1
British Columbia,BC,West Coast,4648055,2020-03-20,0,1,0,2410
Alberta,AB,Prairies,4067175,2020-03-20,49,0,0,3275
Saskatchewan,SK,Prairies,1098352,2020-03-20,6,0,0,0
Manitoba,MB,Prairies,1278365,2020-03-20,0,0,0,178
Ontario,ON,Central,13448494,2020-03-20,53,0,0,3011
Quebec,QC,Central,8164361,2020-03-20,18,0,0,1782
Newfoundland and Labrador,NL,Atlantic,519716,2020-03-20,1,0,0,20
New Brunswick,NB,Atlantic,747101,2020-03-20,0,0,0,113
Nova Scotia,NS,Atlantic,923598,2020-03-20,1,0,0,127
Prince Edward Island,PE,Atlantic,142907,2020-03-20,0,0,0,0
Yukon,YT,North,35874,2020-03-20,0,0,0,0
Northwest Territories,NT,North,41786,2020-03-20,0,0,0,47
Nunavut,NU,North,35944,2020-03-20,0,0,0,0
British Columbia,BC,West Coast,4648055,2020-03-21,153,1,0,1625
Alberta,AB,Prairies,4067175,2020-03-21,31,0,0,3278
Saskatchewan,SK,Prairies,1098352,2020-03-21,18,0,0,1897
Manitoba,MB,Prairies,1278365,2020-03-21,2,0,0,301
Ontario,ON,Central,13448494,2020-03-21,66,1,0,3971
Quebec,QC,Central,8164361,2020-03-21,82,3,0,0
Newfoundland and Labrador,NL,Atlantic,519716,2020-03-21,2,0,0,12
New Brunswick,NB,Atlantic,747101,2020-03-21,6,0,0,225
Nova Scotia,NS,Atlantic,923598,2020-03-21,6,0,0,309
Prince Edward Island,PE,Atlantic,142907,2020-03-21,0,0,0,0
Yukon,YT,North,35874,2020-03-21,0,0,0,416
Northwest Territories,NT,North,41786,2020-03-21,1,0,0,33
Nunavut,NU,North,35944,2020-03-21,0,0,0,2
British Columbia,BC,West Coast,4648055,2020-03-22,0,0,0,1718
Alberta,AB,Prairies,4067175,2020-03-22,33,0,0,3939
Saskatchewan,SK,Prairies,1098352,2020-03-22,8,0,0,600
Manitoba,MB,Prairies,1278365,2020-03-22,0,0,0,268
Ontario,ON,Central,13448494,2020-03-22,48,2,0,3100
Quebec,QC,Central,8164361,2020-03-22,0,0,0,0
Newfoundland and Labrador,NL,Atlantic,519716,2020-03-22,3,0,0,0
New Brunswick,NB,Atlantic,747101,2020-03-22,0,0,0,59
Nova Scotia,NS,Atlantic,923598,2020-03-22,7,0,0,254
Prince Edward Island,PE,Atlantic,142907,2020-03-22,1,0,0,0
Yukon,YT,North,35874,2020-03-22,0,0,0,0
Northwest Territories,NT,North,41786,2020-03-22,0,0,0,0
Nunavut,NU,North,35944,2020-03-22,0,0,0,3
British Columbia,BC,West Coast,4648055,2020-03-23,48,3,0,1325
Alberta,AB,Prairies,4067175,2020-03-23,42,0,0,2758
Saskatchewan,SK,Prairies,1098352,2020-03-23,14,0,0,723
Manitoba,MB,Prairies,1278365,2020-03-23,1,0,0,197
Ontario,ON,Central,13448494,2020-03-23,78,1,0,2118
Quebec,QC,Central,8164361,2020-03-23,407,0,0,0
Newfoundland and Labrador,NL,Atlantic,519716,2020-03-23,15,0,0,595
New Brunswick,NB,Atlantic,747101,2020-03-23,0,0,0,215
Nova Scotia,NS,Atlantic,923598,2020-03-23,13,0,0,198
Prince Edward Island,PE,Atlantic,142907,2020-03-23,0,0,0,131
Yukon,YT,North,35874,2020-03-23,0,0,0,0
Northwest Territories,NT,North,41786,2020-03-23,0,0,0,63
Nunavut,NU,North,35944,2020-03-23,0,0,0,0
British Columbia,BC,West Coast,4648055,2020-03-24,145,0,0,2845
Alberta,AB,Prairies,4067175,2020-03-24,57,1,0,3019
Saskatchewan,SK,Prairies,1098352,2020-03-24,6,0,0,474
Manitoba,MB,Prairies,1278365,2020-03-24,1,0,0,273
Ontario,ON,Central,13448494,2020-03-24,85,2,0,4039
Quebec,QC,Central,8164361,2020-03-24,385,0,0,6532
Newfoundland and Labrador,NL,Atlantic,519716,2020-03-24,11,0,0,193
New Brunswick,NB,Atlantic,747101,2020-03-24,1,0,0,122
Nova Scotia,NS,Atlantic,923598,2020-03-24,10,0,0,233
Prince Edward Island,PE,Atlantic,142907,2020-03-24,0,0,0,0
Yukon,YT,North,35874,2020-03-24,0,0,0,0
Northwest Territories,NT,North,41786,2020-03-24,0,0,0,117
Nunavut,NU,North,35944,2020-03-24,0,0,0,68
British Columbia,BC,West Coast,4648055,2020-03-25,42,1,0,2039
Alberta,AB,Prairies,4067175,2020-03-25,61,0,0,2732
Saskatchewan,SK,Prairies,1098352,2020-03-25,14,0,0,507
Manitoba,MB,Prairies,1278365,2020-03-25,14,0,0,334
Ontario,ON,Central,13448494,2020-03-25,100,5,0,3313
Quebec,QC,Central,8164361,2020-03-25,326,2,0,12757
Newfoundland and Labrador,NL,Atlantic,519716,2020-03-25,32,0,0,148
New Brunswick,NB,Atlantic,747101,2020-03-25,8,0,0,419
Nova Scotia,NS,Atlantic,923598,2020-03-25,17,0,0,367
Prince Edward Island,PE,Atlantic,142907,2020-03-25,2,0,0,95
Yukon,YT,North,35874,2020-03-25,0,0,0,0
Northwest Territories,NT,North,41786,2020-03-25,0,0,0,0
Nunavut,NU,North,35944,2020-03-25,0,0,0,16
British Columbia,BC,West Coast,4648055,2020-03-26,66,0,186,1894
Alberta,AB,Prairies,4067175,2020-03-26,67,0,27,1092
Saskatchewan,SK,Prairies,1098352,2020-03-26,9,0,3,618
Manitoba,MB,Prairies,1278365,2020-03-26,1,0,1,689
Ontario,ON,Central,13448494,2020-03-26,170,2,8,3177
Quebec,QC,Central,8164361,2020-03-26,290,2,2,5483
Newfoundland and Labrador,NL,Atlantic,519716,2020-03-26,15,0,0,212
New Brunswick,NB,Atlantic,747101,2020-03-26,7,0,0,169
Nova Scotia,NS,Atlantic,923598,2020-03-26,5,0,2,409
Prince Edward Island,PE,Atlantic,142907,2020-03-26,4,0,1,52
Yukon,YT,North,35874,2020-03-26,0,0,0,0
Northwest Territories,NT,North,41786,2020-03-26,0,0,0,0
Nunavut,NU,North,35944,2020-03-26,0,0,0,19
British Columbia,BC,West Coast,4648055,2020-03-27,0,0,0,1298
Alberta,AB,Prairies,4067175,2020-03-27,56,0,0,1615
Saskatchewan,SK,Prairies,1098352,2020-03-27,9,0,0,631
Manitoba,MB,Prairies,1278365,2020-03-27,3,1,0,593
Ontario,ON,Central,13448494,2020-03-27,135,3,0,2434
Quebec,QC,Central,8164361,2020-03-27,392,10,27,1045
Newfoundland and Labrador,NL,Atlantic,519716,2020-03-27,20,0,0,237
New Brunswick,NB,Atlantic,747101,2020-03-27,12,0,1,330
Nova Scotia,NS,Atlantic,923598,2020-03-27,17,0,0,529
Prince Edward Island,PE,Atlantic,142907,2020-03-27,2,0,0,69
Yukon,YT,North,35874,2020-03-27,0,0,0,187
Northwest Territories,NT,North,41786,2020-03-27,0,0,0,64
Nunavut,NU,North,35944,2020-03-27,0,0,0,9
British Columbia,BC,West Coast,4648055,2020-03-28,159,2,210,0
Alberta,AB,Prairies,4067175,2020-03-28,0,0,26,0
Saskatchewan,SK,Prairies,1098352,2020-03-28,30,0,0,649
Manitoba,MB,Prairies,1278365,2020-03-28,25,0,0,909
Ontario,ON,Central,13448494,2020-03-28,0,0,0,2185
Quebec,QC,Central,8164361,2020-03-28,477,4,0,11731
Newfoundland and Labrador,NL,Atlantic,519716,2020-03-28,18,0,4,223
New Brunswick,NB,Atlantic,747101,2020-03-28,6,0,1,333
Nova Scotia,NS,Atlantic,923598,2020-03-28,20,0,2,541
Prince Edward Island,PE,Atlantic,142907,2020-03-28,0,0,0,0
Yukon,YT,North,35874,2020-03-28,0,0,0,38
Northwest Territories,NT,North,41786,2020-03-28,0,0,0,195
Nunavut,NU,North,35944,2020-03-28,0,0,0,0
British Columbia,BC,West Coast,4648055,2020-03-29,0,1,0,1940
Alberta,AB,Prairies,4067175,2020-03-29,79,0,20,5882
Saskatchewan,SK,Prairies,1098352,2020-03-29,0,0,1,813
Manitoba,MB,Prairies,1278365,2020-03-29,8,0,0,945
Ontario,ON,Central,13448494,2020-03-29,362,1,0,6166
Quebec,QC,Central,8164361,2020-03-29,342,0,0,6117
Newfoundland and Labrador,NL,Atlantic,519716,2020-03-29,15,0,0,200
New Brunswick,NB,Atlantic,747101,2020-03-29,15,0,0,335
Nova Scotia,NS,Atlantic,923598,2020-03-29,12,0,0,497
Prince Edward Island,PE,Atlantic,142907,2020-03-29,0,0,0,55
Yukon,YT,North,35874,2020-03-29,0,0,0,37
Northwest Territories,NT,North,41786,2020-03-29,0,0,0,0
Nunavut,NU,North,35944,2020-03-29,0,0,0,0
British Columbia,BC,West Coast,4648055,2020-03-30,76,2,73,1493
Alberta,AB,Prairies,4067175,2020-03-30,69,6,21,1960
Saskatchewan,SK,Prairies,1098352,2020-03-30,41,2,10,550
Manitoba,MB,Prairies,1278365,2020-03-30,24,0,1,450
Ontario,ON,Central,13448494,2020-03-30,351,14,423,2110
Quebec,QC,Central,8164361,2020-03-30,590,3,0,7511
Newfoundland and Labrador,NL,Atlantic,519716,2020-03-30,13,1,3,225
New Brunswick,NB,Atlantic,747101,2020-03-30,2,0,0,420
Nova Scotia,NS,Atlantic,923598,2020-03-30,5,0,6,508
Prince Edward Island,PE,Atlantic,142907,2020-03-30,7,0,0,0
Yukon,YT,North,35874,2020-03-30,1,0,0,10
Northwest Territories,NT,North,41786,2020-03-30,0,0,0,0
Nunavut,NU,North,35944,2020-03-30,0,0,0,33
British Columbia,BC,West Coast,4648055,2020-03-31,10,0,38,1055
Alberta,AB,Prairies,4067175,2020-03-31,64,1,26,2635
Saskatchewan,SK,Prairies,1098352,2020-03-31,9,0,7,0
Manitoba,MB,Prairies,1278365,2020-03-31,7,0,2,303
Ontario,ON,Central,13448494,2020-03-31,260,0,103,1797
Quebec,QC,Central,8164361,2020-03-31,732,6,0,7825
Newfoundland and Labrador,NL,Atlantic,519716,2020-03-31,4,0,0,168
New Brunswick,NB,Atlantic,747101,2020-03-31,2,0,7,363
Nova Scotia,NS,Atlantic,923598,2020-03-31,20,0,0,1122
Prince Edward Island,PE,Atlantic,142907,2020-03-31,3,0,0,74
Yukon,YT,North,35874,2020-03-31,0,0,0,14
Northwest Territories,NT,North,41786,2020-03-31,0,0,0,68
Nunavut,NU,North,35944,2020-03-31,0,0,0,9
British Columbia,BC,West Coast,4648055,2020-04-01,96,6,99,340
Alberta,AB,Prairies,4067175,2020-04-01,0,0,22,4449
Saskatchewan,SK,Prairies,1098352,2020-04-01,9,1,9,830
Manitoba,MB,Prairies,1278365,2020-04-01,24,0,0,1182
Ontario,ON,Central,13448494,2020-04-01,426,4,155,5100
Quebec,QC,Central,8164361,2020-04-01,449,2,0,2171
Newfoundland and Labrador,NL,Atlantic,519716,2020-04-01,23,0,3,262
New Brunswick,NB,Atlantic,747101,2020-04-01,11,0,5,491
Nova Scotia,NS,Atlantic,923598,2020-04-01,26,0,1,791
Prince Edward Island,PE,Atlantic,142907,2020-04-01,0,0,2,0
Yukon,YT,North,35874,2020-04-01,0,0,3,20
Northwest Territories,NT,North,41786,2020-04-01,1,0,0,143
Nunavut,NU,North,35944,2020-04-01,0,0,0,16
British Columbia,BC,West Coast,4648055,2020-04-02,55,6,35,602
Alberta,AB,Prairies,4067175,2020-04-02,214,4,32,3955
Saskatchewan,SK,Prairies,1098352,2020-04-02,13,0,6,832
Manitoba,MB,Prairies,1278365,2020-04-02,40,0,7,1287
Ontario,ON,Central,13448494,2020-04-02,401,16,142,3776
Quebec,QC,Central,8164361,2020-04-02,907,3,195,4831
Newfoundland and Labrador,NL,Atlantic,519716,2020-04-02,8,0,0,142
New Brunswick,NB,Atlantic,747101,2020-04-02,10,0,8,504
Nova Scotia,NS,Atlantic,923598,2020-04-02,20,0,5,654
Prince Edward Island,PE,Atlantic,142907,2020-04-02,1,0,0,102
Yukon,YT,North,35874,2020-04-02,1,0,0,20
Northwest Territories,NT,North,41786,2020-04-02,0,0,0,18
Nunavut,NU,North,35944,2020-04-02,0,0,0,10
British Columbia,BC,West Coast,4648055,2020-04-03,53,4,0,2960
Alberta,AB,Prairies,4067175,2020-04-03,107,5,0,3412
Saskatchewan,SK,Prairies,1098352,2020-04-03,14,0,0,686
Manitoba,MB,Prairies,1278365,2020-04-03,15,1,0,552
Ontario,ON,Central,13448494,2020-04-03,462,14,0,3213
Quebec,QC,Central,8164361,2020-04-03,583,25,0,9028
Newfoundland and Labrador,NL,Atlantic,519716,2020-04-03,0,0,0,232
New Brunswick,NB,Atlantic,747101,2020-04-03,4,0,0,411
Nova Scotia,NS,Atlantic,923598,2020-04-03,14,0,0,740
Prince Edward Island,PE,Atlantic,142907,2020-04-03,0,0,0,0
Yukon,YT,North,35874,2020-04-03,0,0,0,11
Northwest Territories,NT,North,41786,2020-04-03,2,0,0,140
Nunavut,NU,North,35944,2020-04-03,0,0,0,14
British Columbia,BC,West Coast,4648055,2020-04-04,29,3,64,845
Alberta,AB,Prairies,4067175,2020-04-04,0,0,0,2012
Saskatchewan,SK,Prairies,1098352,2020-04-04,11,0,0,524
Manitoba,MB,Prairies,1278365,2020-04-04,12,0,0,541
Ontario,ON,Central,13448494,2020-04-04,375,27,0,4676
Quebec,QC,Central,8164361,2020-04-04,896,14,0,6657
Newfoundland and Labrador,NL,Atlantic,519716,2020-04-04,12,0,0,209
New Brunswick,NB,Atlantic,747101,2020-04-04,3,0,0,261
Nova Scotia,NS,Atlantic,923598,2020-04-04,29,0,0,923
Prince Edward Island,PE,Atlantic,142907,2020-04-04,0,0,0,186
Yukon,YT,North,35874,2020-04-04,0,0,0,12
Northwest Territories,NT,North,41786,2020-04-04,0,0,0,60
Nunavut,NU,North,35944,2020-04-04,0,0,0,0
British Columbia,BC,West Coast,4648055,2020-04-05,0,0,0,785
Alberta,AB,Prairies,4067175,2020-04-05,175,5,240,795
Saskatchewan,SK,Prairies,1098352,2020-04-05,18,0,55,811
Manitoba,MB,Prairies,1278365,2020-04-05,9,0,17,580
Ontario,ON,Central,13448494,2020-04-05,408,25,1219,3353
Quebec,QC,Central,8164361,2020-04-05,947,19,0,5728
Newfoundland and Labrador,NL,Atlantic,519716,2020-04-05,22,0,11,211
New Brunswick,NB,Atlantic,747101,2020-04-05,3,0,28,124
Nova Scotia,NS,Atlantic,923598,2020-04-05,26,0,50,362
Prince Edward Island,PE,Atlantic,142907,2020-04-05,0,0,6,0
Yukon,YT,North,35874,2020-04-05,0,0,4,5
Northwest Territories,NT,North,41786,2020-04-05,0,0,1,46
Nunavut,NU,North,35944,2020-04-05,0,0,0,20
British Columbia,BC,West Coast,4648055,2020-04-06,63,1,79,1109
Alberta,AB,Prairies,4067175,2020-04-06,98,1,121,868
Saskatchewan,SK,Prairies,1098352,2020-04-06,4,0,26,625
Manitoba,MB,Prairies,1278365,2020-04-06,1,0,0,1017
Ontario,ON,Central,13448494,2020-04-06,309,13,405,3098
Quebec,QC,Central,8164361,2020-04-06,636,27,611,4158
Newfoundland and Labrador,NL,Atlantic,519716,2020-04-06,9,1,21,220
New Brunswick,NB,Atlantic,747101,2020-04-06,2,0,2,257
Nova Scotia,NS,Atlantic,923598,2020-04-06,31,0,14,654
Prince Edward Island,PE,Atlantic,142907,2020-04-06,0,0,2,0
Yukon,YT,North,35874,2020-04-06,1,0,0,5
Northwest Territories,NT,North,41786,2020-04-06,1,0,0,2
Nunavut,NU,North,35944,2020-04-06,0,0,0,2
British Columbia,BC,West Coast,4648055,2020-04-07,25,4,0,592
Alberta,AB,Prairies,4067175,2020-04-07,25,2,0,1082
Saskatchewan,SK,Prairies,1098352,2020-04-07,7,0,0,523
Manitoba,MB,Prairies,1278365,2020-04-07,13,1,0,202
Ontario,ON,Central,13448494,2020-04-07,379,21,0,2930
Quebec,QC,Central,8164361,2020-04-07,760,29,0,4413
Newfoundland and Labrador,NL,Atlantic,519716,2020-04-07,2,0,0,182
New Brunswick,NB,Atlantic,747101,2020-04-07,2,0,0,424
Nova Scotia,NS,Atlantic,923598,2020-04-07,17,0,0,821
Prince Edward Island,PE,Atlantic,142907,2020-04-07,0,0,0,100
Yukon,YT,North,35874,2020-04-07,0,0,0,12
Northwest Territories,NT,North,41786,2020-04-07,0,0,0,13
Nunavut,NU,North,35944,2020-04-07,0,0,0,5
British Columbia,BC,West Coast,4648055,2020-04-08,45,5,55,1012
Alberta,AB,Prairies,4067175,2020-04-08,50,3,0,1518
Saskatchewan,SK,Prairies,1098352,2020-04-08,11,0,0,856
Manitoba,MB,Prairies,1278365,2020-04-08,4,0,0,579
Ontario,ON,Central,13448494,2020-04-08,550,21,0,3648
Quebec,QC,Central,8164361,2020-04-08,691,25,0,4744
Newfoundland and Labrador,NL,Atlantic,519716,2020-04-08,4,0,0,177
New Brunswick,NB,Atlantic,747101,2020-04-08,3,0,0,375
Nova Scotia,NS,Atlantic,923598,2020-04-08,32,1,0,513
Prince Edward Island,PE,Atlantic,142907,2020-04-08,2,0,0,408
Yukon,YT,North,35874,2020-04-08,0,0,0,7
Northwest Territories,NT,North,41786,2020-04-08,0,0,0,21
Nunavut,NU,North,35944,2020-04-08,0,0,0,6
British Columbia,BC,West Coast,4648055,2020-04-09,34,2,20,887
Alberta,AB,Prairies,4067175,2020-04-09,28,3,0,1333
Saskatchewan,SK,Prairies,1098352,2020-04-09,7,0,0,1000
Manitoba,MB,Prairies,1278365,2020-04-09,3,0,0,0
Ontario,ON,Central,13448494,2020-04-09,483,26,0,4203
Quebec,QC,Central,8164361,2020-04-09,881,41,0,4095
Newfoundland and Labrador,NL,Atlantic,519716,2020-04-09,4,1,0,249
